,ABL1,LCK,CDK2,MAPKAPK2,DYRK1A,PLK1,SRC,CDK5,ROCK1,PAK4,MARK2,MARK3,TLK2,PLK3,AKT1,ULK1,ATR,ATM,AKT2,PAK1,RAF1,ARAF,BRAF,PIM1,VRK1,GSK3B,FYN,LYN,CDK9,TTK,DYRK2,BRSK1,MELK,CDK7,CDK6,HIPK2,CDC7,MAP3K2,MAP3K5,CDK4,MAP3K7,MAP2K7,EGFR,GSK3A,GTF2F1,MAP2K1,LATS1,LATS2,IRAK4,TBK1,CDK3,PBK,AXL,MAP2K3,MAP2K4,SGK1,JAK2,RET,MAP2K6,MAP3K6,PAK2,NEK9,NEK2,NEK6,IRAK1,CLK1,MAP3K3,ALK,BCR
ABL1,0,35,11,2,9,63,61,36,365,72,110,201,85,197,13,75,195,22,102,180,32,60,0,18,290,8,343,287,20,151,30,8,262,10,3,20,3,7,68,0,1,1,0,4,5,12,0,3,173,203,0,15,203,90,109,0,65,164,8,47,266,31,80,68,311,1,182,262,176
LCK,35,0,3,23,0,417,31,29,42,168,4,134,176,53,9,209,46,37,151,304,210,1,291,146,45,1,158,10,10,22,130,1,1,20,50,40,0,8,186,124,2,2,26,34,3,52,22,6,57,155,12,2,8,133,22,276,144,48,63,60,256,115,87,74,56,2,49,276,14
CDK2,11,3,0,260,155,28,22,56,4,35,14,65,88,38,77,32,38,39,0,8,92,17,20,23,6,4,26,4,307,378,8,165,51,330,214,10,704,85,51,232,1,112,24,19,39,163,123,91,20,178,67,117,0,89,273,4,74,149,103,181,10,60,103,104,13,4,119,1,145
MAPKAPK2,2,23,260,0,137,127,127,9,12,62,48,39,0,2,178,84,31,95,13,47,78,20,64,2,20,11,40,19,15,138,14,0,3,42,1,63,263,39,326,0,11,83,4,34,58,187,63,53,5,140,7,63,70,393,102,1,255,75,302,354,72,120,36,86,28,63,3,0,86
DYRK1A,9,0,155,137,0,0,102,21,0,33,2,216,24,24,20,83,0,15,69,7,6,101,42,1,25,37,0,10,208,146,141,22,73,75,122,106,113,217,1,117,3,152,57,51,59,18,208,216,177,63,70,93,12,1,43,27,33,6,1,83,5,1,155,24,33,59,8,61,10
PLK1,63,417,28,127,0,0,165,0,76,395,74,279,226,245,49,278,283,295,67,572,64,33,237,41,106,24,87,83,15,1,68,37,1,302,2,10,24,3,394,26,35,26,0,78,23,0,19,9,124,162,32,26,57,211,56,27,98,79,32,108,375,113,271,27,125,2,7,215,97
SRC,61,31,22,127,102,165,0,43,1,44,58,6,0,149,84,212,180,29,11,221,2,6,21,29,12,2,1,2,59,6,42,0,74,10,118,30,1,32,117,103,47,184,47,13,17,15,154,141,0,94,16,425,247,60,121,0,104,18,0,130,238,15,40,54,127,0,19,39,124
CDK5,36,29,56,9,21,0,43,0,1,25,115,0,27,72,9,28,92,28,0,0,36,78,53,25,43,48,0,28,142,72,0,6,61,0,85,9,8,0,44,67,58,28,1,42,11,10,4,2,38,27,51,37,66,89,10,4,7,4,26,27,6,3,11,81,192,138,27,38,3
ROCK1,365,42,4,12,0,76,1,1,0,154,182,203,132,124,1,27,76,75,76,127,136,28,0,120,172,18,208,173,5,187,7,0,104,19,94,19,10,27,34,137,2,6,1,2,81,66,21,19,69,138,40,71,5,63,30,1,101,126,31,42,84,92,97,3,4,104,16,36,22
PAK4,72,168,35,62,33,395,44,25,154,0,136,476,277,286,36,244,53,102,81,249,75,77,90,195,137,94,16,225,96,18,59,0,4,107,88,0,0,33,369,133,77,92,0,89,155,27,0,3,259,227,210,14,44,232,136,13,219,147,68,188,298,323,335,8,144,9,51,238,0
