Proteins	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
'10-Sep'	0.97063447	0.965936329	0.96727633	1.01395948	0.915733686	1.034547582	0.988285652	0.993781093	1.039579435	1.069547088	1.143930973	1.127400412	1.116512962	0.96996191	1.010451446	0.97874165	1.021720083	0.987600861
'1433G'	1.025978145	1.016774673	0.950659101	0.922742493	0.891310496	1.138394029	1.00556058	1.097331938	0.989656656	1.063632673	1.106497353	1.010451446	1.035982764	0.957271458	0.886381699	0.966606097	1	0.963929808
'1433S'	1.0132569	1.102669163	1.025267238	0.802737389	0.732550437	0.902500727	1.096571589	1.0181852	1.071773463	1.028826708	0.976031761	1.004167543	1.051172909	1.020304659	1.062895674	0.986232704	0.993092495	1.0132569
'1433T'	0.958599438	1.074749173	1.262252032	0.410086456	0.380244688	0.79774524	1.373636233	1.261377409	1.388955136	1.014662547	0.974679631	1.056285625	1.048989328	0.979420298	0.859160755	0.971307496	0.808320869	0.868140228
'1433Z'	0.938221197	1.016774673	1.071773463	0.821310701	0.735603373	0.961927455	0.999307093	0.947370071	0.989656656	1.07997656	1.092777739	1.015366101	1.036701101	1.008352455	1.058484395	1.022428531	1.078480432	1.098854218
'2-Sep'	0.982820599	1.042465761	1.006257823	0.974004269	0.901875378	0.954621014	1.104198847	1.041743429	1.125058485	0.993781093	1.182631	1.065846736	1.043188594	1.065108203	1.0238469	1.011152081	0.953298545	1.002081605
'2A5A'	1.059218335	0.911933166	0.938221197	1.195819797	1.043188594	1.082224645	1.204137381	1.180992661	1.220946513	0.994470169	0.934975198	0.961260928	1.054091423	1.034547582	0.971980988	0.953959551	0.918276162	0.902500727
'2A5D'	1.082975046	1.057018041	1.07549439	0.918912883	0.838568184	0.816203046	1.076240125	1.019597683	1.148698355	0.992404375	0.951977908	0.993092495	1.029540083	1.036701101	0.916368645	0.965267025	0.998614666	0.999307093
'2A5E'	1.038139271	1.024556823	0.991029563	0.948684315	0.986232704	1	1.065108203	1.003471749	1.027401439	1.048989328	1.002776436	1.0132569	1.011853201	0.987600861	1.009751298	1.002081605	0.971307496	0.984184022
'3BP1'	0.982139595	1.000693387	1.079228237	0.863339559	0.863339559	0.974679631	1.044635763	0.995849753	1.030253954	0.640379931	0.562529242	0.775930854	1.094293701	0.974679631	1.080725402	0.946057647	0.960594864	1.017479692
