,Kinase
0,Hs_AKT1.AA
1,Hs_AKT3.AA
2,Hs_AKT2.AA
3,Hs_SGK1.AA
4,Hs_SGK2.AA
5,Hs_SGK3.AA
6,Hs_MSK1.AA
7,Hs_MSK2.AA
8,Hs_RSK2.AA
9,Hs_RSK3.AA
10,Hs_RSK1.AA
11,Hs_RSK4.AA
12,Hs_p70S6K.AA
13,Hs_p70S6Kb.AA
14,Hs_PKCa.AA
15,Hs_PKCb.AA
16,Hs_PKCg.AA
17,Hs_PKCe.AA
18,Hs_PKCh.AA
19,Hs_PKCd.AA
20,Hs_PKCt.AA
21,Hs_PKCi.AA
22,Hs_PKCz.AA
23,Hs_PKN1.AA
24,Hs_PKN2.AA
25,Hs_PKN3.AA
26,Hs_YANK1.AA
27,Hs_YANK2.AA
28,Hs_YANK3.AA
29,Hs_PKACa.AA
30,Hs_PKACb.AA
31,Hs_PKACg.AA
32,Hs_PRKX.AA
33,Hs_PRKY.AA
34,Hs_PKG1.AA
35,Hs_PKG2.AA
36,Hs_PDK1.AA
37,Hs_MAST2.AA
38,Hs_MAST3.AA
39,Hs_MAST1.AA
40,Hs_MAST4.AA
41,Hs_LATS1.AA
42,Hs_LATS2.AA
43,Hs_NDR1.AA
44,Hs_NDR2.AA
45,Hs_SgK494.AA
46,Hs_BARK1.AA
47,Hs_BARK2.AA
48,Hs_GPRK5.AA
49,Hs_GPRK6.AA
50,Hs_GPRK4.AA
51,Hs_RHOK.AA
52,Hs_GPRK7.AA
53,Hs_AurB.AA
54,Hs_AurC.AA
55,Hs_AurA.AA
56,Hs_NuaK1.AA
57,Hs_NuaK2.AA
58,Hs_MAPKAPK2.AA
59,Hs_MAPKAPK3.AA
60,Hs_MAPKAPK5.AA
61,Hs_MNK1.AA
62,Hs_MNK2.AA
63,Hs_ULK3.AA
64,Hs_BRSK1.AA
65,Hs_BRSK2.AA
66,Hs_CaMK1a.AA
67,Hs_CaMK1d.AA
68,Hs_CaMK1g.AA
69,Hs_CaMK1b.AA
70,Hs_VACAMKL.AA
71,Hs_PSKH1.AA
72,Hs_PSKH2.AA
73,Hs_CaMK4.AA
74,Hs_DCLK3.AA
75,Hs_DCLK1.AA
76,Hs_DCLK2.AA
77,Hs_CaMK2a.AA
78,Hs_CaMK2d.AA
79,Hs_CaMK2b.AA
80,Hs_CaMK2g.AA
81,Hs_PHKg1.AA
82,Hs_PHKg2.AA
83,Hs_DAPK1.AA
84,Hs_DAPK2.AA
85,Hs_DAPK3.AA
86,Hs_SgK085.AA
87,Hs_caMLCK.AA
88,Hs_skMLCK.AA
89,Hs_smMLCK.AA
90,Hs_DRAK1.AA
91,Hs_DRAK2.AA
92,Hs_AMPKa1.AA
93,Hs_AMPKa2.AA
94,Hs_MELK.AA
95,Hs_MARK1.AA
96,Hs_MARK3.AA
97,Hs_MARK2.AA
98,Hs_MARK4.AA
