CRISP3	A1BG
A1BG	CRISP3
AMBP	A2M
KLK3	A2M
CPB2	A2M
MMP2	A2M
LEP	A2M
APOE	A2M
ADAMTS1	A2M
LRP1	A2M
NGF	A2M
IL4	A2M
IL10	A2M
B2M	A2M
PAEP	A2M
LCAT	A2M
HSPA5	A2M
KLK13	A2M
IL1B	A2M
ADAM19	A2M
CELA1	A2M
PDGFB	A2M
CTSB	A2M
STAT3	A2M
A2M	AMBP
ALB	AMBP
CD79A	AMBP
FN1	AMBP
A2M	KLK3
SERPINA3	KLK3
SERPINA5	KLK3
CTNNB1	KLK3
RUVBL1	KLK3
KAT5	KLK3
POLR2A	KLK3
AR	KLK3
FN1	KLK3
SERPINA1	KLK3
EPOR	KLK3
PZP	KLK3
IGFBP3	KLK3
A2M	CPB2
PLG	CPB2
PZP	CPB2
F2	CPB2
C5	CPB2
THBD	CPB2
A2M	MMP2
TGFB1	MMP2
PZP	MMP2
BACE1	MMP2
ITGAV	MMP2
COL1A1	MMP2
THBS1	MMP2
CXCL12	MMP2
CCL7	MMP2
COL7A1	MMP2
COL6A3	MMP2
CLDN1	MMP2
COL18A1	MMP2
BCAN	MMP2
TIMP2	MMP2
LCN2	MMP2
MMP17	MMP2
TIMP4	MMP2
TIMP3	MMP2
THBS2	MMP2
SPOCK1	MMP2
A2M	LEP
STAT3	LEP
GHRL	LEP
LEPR	LEP
CLU	LEP
SIGLEC6	LEP
HK3	LEP
PRKAA2	LEP
A2M	APOE
LRP1	APOE
CTSB	APOE
APP	APOE
ALB	APOE
LRP2	APOE
LRP8	APOE
PLTP	APOE
LDLR	APOE
MAPT	APOE
NEFM	APOE
CNTF	APOE
SDC2	APOE
VLDLR	APOE
SCARB1	APOE
MAP2	APOE
A2M	ADAMTS1
VEGFA	ADAMTS1
A2M	LRP1
APOE	LRP1
PDGFB	LRP1
SERPINA3	LRP1
ELANE	LRP1
APP	LRP1
CTSG	LRP1
SHC1	LRP1
SRC	LRP1
C3	LRP1
APBB1	LRP1
SYNJ2BP	LRP1
MDK	LRP1
KAT5	LRP1
GIPC1	LRP1
DLG4	LRP1
DAB2	LRP1
MAPK8IP1	LRP1
PLAT	LRP1
APBA2	LRP1
C4BPA	LRP1
HSP90B1	LRP1
DAB1	LRP1
LIPC	LRP1
CALCR	LRP1
CALR	LRP1
CANX	LRP1
LPL	LRP1
SERPINA1	LRP1
CD82	LRP1
MMP14	LRP1
THBS1	LRP1
F8	LRP1
ITGB1BP1	LRP1
LTF	LRP1
ANAPC10	LRP1
FURIN	LRP1
CTGF	LRP1
PLAUR	LRP1
LRPAP1	LRP1
SERPINE1	LRP1
MMP16	LRP1
F9	LRP1
MAPK8IP2	LRP1
PDIA2	LRP1
SNX17	LRP1
NOS1AP	LRP1
SCN3A	LRP1
GULP1	LRP1
MMP13	LRP1
MMP15	LRP1
GTPBP1	LRP1
MMP17	LRP1
A2M	NGF
NTRK1	NGF
PLG	NGF
MMP7	NGF
NGFR	NGF
SORT1	NGF
A2M	IL4
IL2RG	IL4
CD53	IL4
IL4R	IL4
PIK3CD	IL4
IL13RA2	IL4
A2M	IL10
IL10RA	IL10
IL10RB	IL10
A2M	B2M
PRSS23	B2M
HLA-B	B2M
FCGRT	B2M
CALR	B2M
HLA-E	B2M
CD1D	B2M
BAT3	B2M
HFE	B2M
HLA-G	B2M
CD1E	B2M
CD1A	B2M
CD1B	B2M
HLA-A	B2M
HLA-C	B2M
LILRB1	B2M
HLA-F	B2M
A2M	PAEP
XRCC6	PAEP
IGSF21	PAEP
EEF1A1	PAEP
C1orf103	PAEP
PTPRC	PAEP
COPS6	PAEP
UBE2E1	PAEP
A2M	LCAT
APOA1	LCAT
A2M	HSPA5
DNAJC1	HSPA5
