,CDK2,ATM,AKT2,ABL1,IRAK4,PAK1,PAK2,SRC,PDK1,CDK4,CDK6,CDK5,CDK9,MAPKAPK2,AKT1,CDK7,MAP3K7,MARK2,GSK3B,JAK2,MAP2K1,MAP2K2,RET,FYN,ATR,CDC7,HIPK2,MARK3,ARAF,LATS1,SGK1,RAF1,ROCK1,ROCK2,CLK1,NEK9,DYRK2,MAP3K6,MAP2K4,MAP3K5,MAP2K6,MAP2K3,PAK4,GTF2F1,PLK1,HCK,AXL,GSK3A,MOS,PIM1,DYRK1A,BRAF,FER,ALK,MASTL
CDK2,0,0,29,36,104,124,63,258,30,387,171,232,234,176,116,271,176,219,234,76,92,75,96,23,120,581,249,359,190,18,50,53,199,15,79,4,0,36,36,36,36,36,98,94,217,31,0,127,0,103,82,41,42,42,1
ATM,0,0,33,1,33,5,0,11,93,9,5,89,27,33,63,20,57,67,77,123,100,112,87,5,147,0,27,1,1,1,31,78,87,45,2,3,96,5,5,5,5,5,0,23,16,3,34,0,84,17,15,38,52,52,32
AKT2,29,33,0,60,33,454,215,102,70,11,5,363,17,371,756,41,86,121,82,382,279,232,341,37,5,0,0,84,44,55,278,53,278,26,0,46,300,143,143,143,143,143,0,5,158,153,226,0,296,139,2,66,112,112,21
ABL1,36,1,60,0,37,63,82,27,39,0,3,63,0,38,76,11,118,103,0,152,132,116,188,851,0,40,56,224,0,24,23,24,177,26,0,26,0,152,152,152,152,152,15,0,12,46,61,14,6,79,15,1,26,26,204
IRAK4,104,33,33,37,0,19,6,34,6,94,35,58,114,187,89,25,46,152,30,71,77,65,102,13,56,61,39,174,1,11,38,7,105,2,24,16,6,97,97,97,97,97,13,4,51,8,4,37,0,57,10,0,0,0,17
PAK1,124,5,454,63,19,0,94,129,48,1,66,298,20,379,519,4,113,124,43,380,394,367,305,32,5,15,14,39,144,83,178,4,151,0,0,30,92,38,38,38,38,38,28,0,79,1,46,5,42,146,2,81,85,85,0
PAK2,63,0,215,82,6,94,0,109,0,52,0,300,11,104,160,13,210,215,60,96,51,38,107,48,28,51,68,43,107,76,97,45,106,5,27,2,102,103,103,103,103,103,0,44,54,124,137,35,26,13,8,158,45,45,74
SRC,258,11,102,27,34,129,109,0,23,207,144,319,57,229,162,6,218,243,490,160,125,99,224,6,158,51,22,89,203,54,126,14,117,0,79,38,70,188,188,188,188,188,124,59,95,8,64,16,116,118,0,60,89,89,3
PDK1,30,93,70,39,6,48,0,23,0,7,15,17,0,17,47,12,29,34,32,7,8,7,1,50,51,46,21,0,56,5,6,96,0,48,160,12,0,1,1,1,1,1,11,2,13,18,7,0,4,38,5,72,0,0,1
CDK4,387,9,11,0,94,1,52,207,7,0,267,150,220,105,50,74,79,136,179,16,10,5,39,3,128,228,94,105,47,1,13,46,58,18,118,6,66,50,50,50,50,50,85,91,261,6,3,20,21,28,78,23,31,31,13
CDK6,171,5,5,3,35,66,0,144,15,267,0,117,163,141,70,52,108,146,32,0,4,3,4,0,24,124,8,31,36,7,16,26,21,15,98,6,37,12,12,12,12,12,61,33,80,56,52,0,0,1,7,12,12,12,2
CDK5,232,89,363,63,58,298,300,319,17,150,117,0,75,431,437,1,393,402,207,236,206,171,301,31,99,109,124,184,224,125,164,188,317,109,59,11,264,212,212,212,212,212,27,23,196,9,54,32,134,126,0,148,66,66,8
CDK9,234,27,17,0,114,20,11,57,0,220,163,75,0,96,52,32,30,51,83,0,2,0,0,0,31,71,96,33,6,1,5,6,44,6,10,7,23,2,2,2,2,2,17,25,129,29,6,13,1,17,73,10,2,2,14
MAPKAPK2,176,33,371,38,187,379,104,229,17,105,141,431,96,0,570,0,253,279,114,254,183,155,288,12,83,78,136,189,138,15,339,106,365,39,58,71,142,168,168,168,168,168,138,6,200,23,123,17,100,243,5,137,148,148,5
AKT1,116,63,756,76,89,519,160,162,47,50,70,437,52,570,0,2,280,299,141,480,422,365,480,33,23,30,25,169,115,55,490,84,392,26,26,32,249,218,218,218,218,218,25,2,233,68,146,1,175,279,2,135,104,104,7
CDK7,271,20,41,11,25,4,13,6,12,74,52,1,32,0,2,0,64,47,26,13,4,5,7,27,5,399,93,114,20,4,0,0,0,0,18,11,65,0,0,0,0,0,28,119,9,2,16,134,43,0,20,5,22,22,0
MAP3K7,176,57,86,118,46,113,210,218,29,79,108,393,30,253,280,64,0,796,157,118,112,96,168,38,50,132,171,134,399,103,143,126,238,12,68,30,29,133,133,133,133,133,97,64,83,0,15,42,12,93,1,354,28,28,22
