,AKT1,AKT2,ARAF,ATM,ATR,AurB,BRAF,BUB1,CDC7,CDK2,CDK3,CDK4,CDK5,CDK6,CDK7,CDK9,CK1d,DAPK2,DYRK1A,DYRK1B,GSK3A,GSK3B,HIPK2,IKKb,JAK2,MAP2K7,MAP3K1,MAP3K7,p38a,MAPKAPK2,MARK2,MELK,NEK6,NEK9,NLK,PAK1,PAK4,PBK,PIM1,PIM3,PLK1,PLK3,PKCh,PKCi,RAF1,RSK3,RSK2,SGK1,SRC,SRPK1,TLK2,TTK,ULK1,VRK1
AKT1,0,0,475,20,143,532,684,4,74,550,522,312,73,432,377,585,522,33,166,205,174,505,203,177,112,437,437,162,133,627,162,50,321,178,195,731,65,522,368,392,336,538,34,59,588,392,595,327,227,24,43,81,610,522
AKT2,0,0,56,15,182,87,55,35,11,60,43,19,4,2,113,78,45,24,0,1,88,26,169,5,6,104,104,0,0,145,0,42,45,170,28,46,39,43,35,178,25,72,93,292,29,178,26,87,6,59,4,13,28,43
ARAF,475,56,0,285,521,226,575,0,16,223,190,86,41,209,488,646,397,0,0,0,126,279,217,50,2,255,255,0,120,573,0,21,145,68,8,662,90,190,125,829,413,191,6,30,967,829,337,651,56,3,21,7,391,190
ATM,20,15,285,0,295,0,98,139,42,12,24,82,40,1,6,86,168,326,41,124,192,0,12,99,31,2,2,112,34,137,112,155,24,5,121,73,306,24,27,284,1,18,89,20,223,284,27,280,111,263,25,1,7,24
ATR,143,182,521,295,0,79,296,94,201,284,185,118,35,153,542,266,202,0,12,0,339,333,583,6,112,256,256,22,177,368,22,194,448,16,0,287,381,185,33,676,394,255,7,240,454,676,223,608,19,13,188,49,283,185
AurB,532,87,226,0,79,0,475,65,33,507,252,313,0,282,202,265,358,219,408,607,190,318,286,125,177,528,528,113,15,310,113,164,234,337,182,475,72,252,727,303,167,282,1,88,285,303,263,72,69,89,77,152,161,252
BRAF,684,55,575,98,296,475,0,1,179,731,621,314,1,612,490,736,577,18,115,120,261,704,268,60,32,618,618,75,181,882,75,37,397,362,161,879,275,621,287,607,396,595,61,207,618,607,535,581,9,5,73,110,456,621
BUB1,4,35,0,139,94,65,1,0,71,14,137,113,1,22,140,2,11,62,263,0,0,115,109,46,148,17,17,225,279,0,225,284,138,14,40,1,6,137,141,0,118,170,104,15,1,0,172,17,156,194,107,63,252,137
CDC7,74,11,16,42,201,33,179,71,0,428,261,79,76,120,178,66,294,8,86,39,95,385,171,19,98,262,262,98,131,215,98,27,389,0,99,113,450,261,37,44,191,258,115,190,31,44,107,206,0,0,160,238,132,261
CDK2,550,60,223,12,284,507,731,14,428,0,746,493,39,684,485,460,413,79,195,305,350,827,477,81,207,755,755,94,222,648,94,173,711,286,359,602,402,746,297,360,330,767,65,307,271,360,532,361,16,14,233,370,400,746
CDK3,522,43,190,24,185,252,621,137,261,746,0,569,0,618,626,543,244,132,11,181,108,824,315,195,115,725,725,1,498,615,1,228,501,236,364,532,135,1000,79,259,442,949,1,217,232,259,858,397,81,80,246,174,675,1000
CDK4,312,19,86,82,118,313,314,113,79,493,569,0,4,640,568,303,15,439,0,334,38,496,224,241,55,684,684,8,514,190,8,468,269,137,292,317,28,569,210,99,358,581,40,14,136,99,562,121,168,72,435,286,404,569
CDK5,73,4,41,40,35,0,1,1,76,39,0,4,0,15,2,47,3,3,37,27,64,9,63,10,41,16,16,27,0,7,27,50,42,1,10,22,258,0,3,0,7,0,183,48,60,0,20,6,331,47,94,263,123,0
CDK6,432,2,209,1,153,282,612,22,120,684,618,640,15,0,406,467,112,74,15,120,210,627,226,20,46,578,578,9,338,466,9,133,414,329,231,478,187,618,147,261,218,601,26,81,234,261,479,300,13,0,248,300,314,618
CDK7,377,113,488,6,542,202,490,140,178,485,626,568,2,406,0,660,148,154,32,84,54,637,373,285,24,713,713,32,664,493,32,352,350,41,78,535,86,626,107,475,765,621,37,63,524,475,757,578,177,82,371,38,697,626
CDK9,585,78,646,86,266,265,736,2,66,460,543,303,47,467,660,0,300,19,2,30,56,513,120,143,12,541,541,26,334,759,26,15,190,122,60,768,67,543,172,536,458,474,3,34,680,536,622,631,60,0,70,0,527,543
CK1d,522,45,397,168,202,358,577,11,294,413,244,15,3,112,148,300,0,32,307,43,189,333,206,33,127,248,248,259,2,618,259,0,224,125,38,548,216,244,197,381,230,237,46,223,441,381,210,416,17,16,3,15,268,244
DAPK2,33,24,0,326,0,219,18,62,8,79,132,439,3,74,154,19,32,0,0,594,8,72,35,336,13,261,261,55,149,2,55,454,15,89,157,49,23,132,170,0,64,129,94,17,2,0,180,25,50,297,114,97,66,132
DYRK1A,166,0,0,41,12,408,115,263,86,195,11,0,37,15,32,2,307,0,0,336,198,37,20,0,109,45,45,622,152,71,622,20,78,126,142,68,137,11,458,6,13,17,97,81,1,6,1,3,15,4,17,178,7,11
DYRK1B,205,1,0,124,0,607,120,0,39,305,181,334,27,120,84,30,43,594,336,0,46,193,108,246,156,367,367,44,37,24,44,298,149,150,309,121,22,181,556,11,61,198,6,9,12,11,156,16,50,167,95,344,58,181
GSK3A,174,88,126,192,339,190,261,0,95,350,108,38,64,210,54,56,189,8,198,46,0,259,485,143,332,80,80,104,4,298,104,53,579,361,170,151,552,108,142,334,17,225,168,541,104,334,34,132,1,0,5,357,66,108
GSK3B,505,26,279,0,333,318,704,115,385,827,824,496,9,627,637,513,333,72,37,193,259,0,449,86,162,753,753,7,460,652,7,253,671,248,346,604,298,824,159,356,566,846,15,285,324,356,699,446,100,94,287,262,610,824
HIPK2,203,169,217,12,583,286,268,109,171,477,315,224,63,226,373,120,206,35,20,108,485,449,0,2,618,342,342,15,75,300,15,438,681,157,70,226,327,315,54,474,256,434,15,504,204,474,274,251,65,81,206,219,270,315
IKKb,177,5,50,99,6,125,60,46,19,81,195,241,10,20,285,143,33,336,0,246,143,86,2,0,0,297,297,4,310,23,4,189,0,36,36,126,93,195,114,7,353,130,302,99,97,7,378,51,169,165,242,5,255,195
JAK2,112,6,2,31,112,177,32,148,98,207,115,55,41,46,24,12,127,13,109,156,332,162,618,0,0,73,73,0,0,39,0,329,435,91,100,15,126,115,18,71,34,202,1,366,3,71,80,5,101,142,92,274,94,115
MAP2K7,437,104,255,2,256,528,618,17,262,755,725,684,16,578,713,541,248,261,45,367,80,753,342,297,73,0,1000,1,510,497,1,376,381,203,240,545,116,725,336,316,602,681,0,99,300,316,704,376,86,125,483,162,470,725
MAP3K1,437,104,255,2,256,528,618,17,262,755,725,684,16,578,713,541,248,261,45,367,80,753,342,297,73,1000,0,1,510,497,1,376,381,203,240,545,116,725,336,316,602,681,0,99,300,316,704,376,86,125,483,162,470,725
MAP3K7,162,0,0,112,22,113,75,225,98,94,1,8,27,9,32,26,259,55,622,44,104,7,15,4,0,1,1,0,130,97,1000,215,14,29,116,70,61,1,279,1,20,4,27,9,9,1,8,0,1,88,95,32,0,1
