Kinase	Phosphosite	TCGA-13-1484	TCGA-13-1489	TCGA-13-1494	TCGA-13-1499	TCGA-13-2071	TCGA-23-1123	TCGA-23-1124	TCGA-24-1103	TCGA-24-1104	TCGA-24-1428	TCGA-24-1430	TCGA-24-1435	TCGA-24-1466	TCGA-24-1467	TCGA-24-1545	TCGA-24-1550	TCGA-24-1551	TCGA-24-1552	TCGA-24-1553	TCGA-24-1555	TCGA-24-1556	TCGA-24-1562	TCGA-24-1563	TCGA-24-1603	TCGA-24-1604	TCGA-24-1923	TCGA-24-2020	TCGA-24-2023	TCGA-24-2024	TCGA-24-2030	TCGA-24-2260	TCGA-24-2267	TCGA-24-2288	TCGA-24-2289	TCGA-25-1316	TCGA-25-1319	TCGA-25-1320	TCGA-25-1321	TCGA-25-1628	TCGA-25-1630	TCGA-25-1635	TCGA-25-2400	TCGA-25-2404	TCGA-25-2409	TCGA-29-1688	TCGA-29-1693	TCGA-29-1762	TCGA-29-1763	TCGA-29-1774	TCGA-29-1775	TCGA-29-1776	TCGA-29-1777	TCGA-29-2414	TCGA-29-2432	TCGA-30-1866	TCGA-36-1576	TCGA-36-1581	TCGA-36-2529	TCGA-36-2530	TCGA-36-2543	TCGA-42-2588	TCGA-42-2590	TCGA-61-1741	TCGA-61-1907	TCGA-61-1919	TCGA-61-1995	TCGA-61-2008	TCGA-61-2095	TCGA-61-2612
CDK2	APC-S1360	-0.35600000000000004	-1.81	-0.306	-0.988	-0.37799999999999995	-1.11	-0.268	-0.32	-0.109	-0.326	-0.05532483333333335	1.22	-0.05532483333333335	-0.05532483333333335	0.354	0.0992	-0.436	-0.05532483333333335	-0.6679999999999999	0.179	0.317	1.26	0.373	-0.856	-0.77	0.55	0.363	-0.325	-0.05532483333333335	-0.6940000000000001	-0.114	0.327	0.182	-0.602	0.59	0.371	0.0745	-0.05532483333333335	0.28300000000000003	-0.816	-0.3	-0.43700000000000006	0.102	0.0933	0.5429999999999999	0.0889	0.0213	-0.05532483333333335	0.601	-1.15	-0.64	-0.308	0.20199999999999999	-0.05532483333333335	-0.006690000000000001	0.531	-0.602	0.42100000000000004	1.05	0.386	0.447	-0.21600000000000003	-0.05532483333333335	-0.261	0.285	0.11599999999999999	0.316	-0.515	0.622
ATM	ATM-T1885	0.8320000000000001	1.01	-0.392	-0.0228	-0.45399999999999996	0.325	0.268	-0.564	0.13699999999999998	0.513	-0.546	0.396	-0.28	-2.48	0.985	-4.76	0.581	-0.32899999999999996	0.8220000000000001	1.36	1.93	0.299	-0.16	0.0611	0.679	1.08	0.737	-0.736	0.26899999999999996	-0.254	1.68	2.48	0.0909	-0.141	1.15	0.5760000000000001	-0.245	0.505	0.348	-0.174	0.45399999999999996	-0.762	0.8440000000000001	0.39299999999999996	-0.039	0.7879999999999999	0.187	0.6940000000000001	0.32899999999999996	-0.17800000000000002	1.3	-0.485	-0.0157	0.557	-0.452	0.000884	-1.13	-0.479	-0.7	0.0476	0.102	-0.204	0.628	0.499	-1.09	0.529	0.5820000000000001	-0.635	-0.0794
AKT2	ATP7A-S1463	0.22899999999999998	-0.14435416666666664	-0.156	-0.868	0.0301	0.273	-0.363	-0.5489999999999999	0.0843	0.5670000000000001	-0.14435416666666664	1.17	-0.14435416666666664	-0.309	0.322	0.0456	0.134	-0.14435416666666664	0.611	0.162	-0.14435416666666664	0.469	-0.39799999999999996	1.39	-0.14435416666666664	-0.406	-0.14435416666666664	-0.281	-0.14435416666666664	-0.14435416666666664	-0.14435416666666664	-0.14435416666666664	-1.15	-0.14435416666666664	0.486	-0.14435416666666664	-0.14435416666666664	-0.625	-0.16899999999999998	-0.39799999999999996	-0.26899999999999996	-0.44	-0.5589999999999999	0.647	-0.34	-0.536	-0.9740000000000001	-0.14435416666666664	-0.14435416666666664	-0.67	0.133	-0.43	-0.8759999999999999	-0.726	-0.55	-0.14435416666666664	-1.12	-0.14435416666666664	0.866	-0.239	-0.14435416666666664	-0.14435416666666664	-0.14435416666666664	0.11	-0.507	0.331	-0.556	-0.128	-0.397
AKT2	ATP7A-S1466	-1.76	-2.98	-0.10246666666666665	-0.10246666666666665	-0.607	-0.5920000000000001	-0.925	-0.27399999999999997	-0.10246666666666665	1.24	-0.10246666666666665	1.14	-0.10246666666666665	-0.515	-0.631	-0.40700000000000003	0.49200000000000005	-0.10246666666666665	0.257	-0.0668	-0.10246666666666665	-0.8270000000000001	-0.594	-0.10246666666666665	-0.10246666666666665	1.17	-0.10246666666666665	-0.10246666666666665	-0.10246666666666665	-0.10246666666666665	-0.10246666666666665	-0.10246666666666665	-0.5539999999999999	-0.10246666666666665	1.52	-0.10246666666666665	-0.10246666666666665	0.322	-0.10246666666666665	-0.10246666666666665	-1.01	0.273	0.14	-0.5489999999999999	-0.529	-0.39	0.327	-0.10246666666666665	-0.10246666666666665	-0.10246666666666665	-0.0976	0.0112	0.418	0.235	0.256	-0.10246666666666665	-0.47200000000000003	0.23800000000000002	-0.105	0.0114	-0.10246666666666665	-0.0653	-0.10246666666666665	1.38	0.893	0.0213	0.0782	-0.7759999999999999	-0.10246666666666665
ABL1	EMD-Y167	0.14	0.32799999999999996	0.057	-0.11863809523809524	-0.996	-0.446	0.382	-0.0384	0.445	0.618	0.391	0.607	1.3	0.188	0.225	-0.8740000000000001	-0.41600000000000004	-0.0804	1.57	-0.6	-0.11863809523809524	-0.5579999999999999	-0.603	0.7440000000000001	0.479	1.84	-0.35700000000000004	0.721	-1.0	-0.6779999999999999	-0.11863809523809524	-0.11863809523809524	-0.0264	-0.9940000000000001	-1.72	0.223	0.632	0.624	0.0574	-0.11863809523809524	-1.17	-0.45799999999999996	-0.17600000000000002	-0.7340000000000001	0.384	-0.11900000000000001	0.81	-0.77	-0.956	-0.11863809523809524	-0.848	0.0803	0.515	0.9990000000000001	0.444	-0.617	-2.6	0.0691	-0.6759999999999999	-0.5760000000000001	1.21	-0.0538	0.309	-0.6890000000000001	-1.5	-0.561	0.271	-1.82	-0.426
CDK2	LIG1-S51	-0.456105128205128	-1.92	-0.456105128205128	-3.01	-0.456105128205128	0.488	-0.499	0.0114	-0.456105128205128	1.06	-1.02	-0.456105128205128	-0.889	-0.456105128205128	-0.456105128205128	-0.456105128205128	-1.03	0.467	-0.0258	-0.456105128205128	-0.456105128205128	-0.456105128205128	-2.52	-0.456105128205128	-0.456105128205128	0.105	-0.456105128205128	-0.456105128205128	-0.344	0.175	-0.456105128205128	-0.456105128205128	-0.456105128205128	-0.366	-0.456105128205128	0.11699999999999999	-0.456105128205128	-0.456105128205128	-0.456105128205128	-1.31	-0.405	0.26899999999999996	-1.12	-2.48	-0.456105128205128	-0.456105128205128	-0.456105128205128	-0.282	1.07	-1.52	0.125	-0.251	-0.456105128205128	-0.456105128205128	-0.0587	-0.183	0.598	0.955	1.28	-0.456105128205128	0.179	-3.2	-0.145	0.41200000000000003	0.862	-0.456105128205128	-0.213	-3.17	-0.456105128205128
IRAK4	NCF1-S320	1.24	-0.041684313725490175	-0.041684313725490175	-0.041684313725490175	-0.391	0.9059999999999999	-0.579	-1.08	-0.041684313725490175	0.7340000000000001	-0.52	-0.214	-0.151	0.617	0.429	1.39	-3.63	0.0315	0.8290000000000001	0.9790000000000001	-0.041684313725490175	0.649	0.0833	-0.041684313725490175	-0.387	-0.235	1.06	-0.041684313725490175	0.293	-0.041684313725490175	-0.041684313725490175	-0.041684313725490175	0.408	1.15	-0.033	-0.215	0.126	-0.282	-0.041684313725490175	-0.041684313725490175	-0.573	-0.36	-0.29	-0.664	0.996	-1.18	-0.26899999999999996	0.293	-0.041684313725490175	-0.041684313725490175	-1.67	-0.505	-1.3	0.0503	0.635	-0.041684313725490175	-0.7490000000000001	-0.041684313725490175	-1.39	0.595	0.862	-0.041684313725490175	0.107	0.62	0.39399999999999996	0.5920000000000001	-0.5670000000000001	-0.961	-0.041684313725490175
IRAK4	NCF1-S320	1.12	-1.72	-0.408	-1.1	-0.5770000000000001	1.72	-0.40399999999999997	-0.10354509803921566	-0.0766	0.6709999999999999	-0.10354509803921566	-1.0	-0.10354509803921566	-0.335	1.26	-0.10354509803921566	1.12	-0.10354509803921566	1.39	-0.10354509803921566	-0.10354509803921566	0.0296	0.28600000000000003	-0.10354509803921566	0.205	-1.03	-0.9690000000000001	-0.10354509803921566	0.0159	-1.06	-0.10354509803921566	-0.10354509803921566	0.406	0.649	-0.10354509803921566	-0.34	-0.431	-0.408	0.743	0.317	0.34	-0.163	-0.10354509803921566	-0.502	0.298	-1.78	-1.03	-0.248	-1.75	-1.13	-0.10354509803921566	0.0265	-0.605	-0.42700000000000005	-0.319	0.0809	-1.19	-0.19699999999999998	-0.10354509803921566	2.22	0.674	-0.6970000000000001	-0.0559	0.9329999999999999	-0.10354509803921566	0.0856	0.0812	-0.10354509803921566	-0.10354509803921566
IRAK4	NCF1-S345	0.17300000000000001	-2.06	-0.2163589743589744	-1.23	-0.2163589743589744	0.659	-0.2163589743589744	-0.9640000000000001	-0.2163589743589744	0.40299999999999997	-0.2163589743589744	-0.2163589743589744	-0.2163589743589744	0.0649	-0.2163589743589744	-0.2163589743589744	-0.2163589743589744	-0.2163589743589744	2.76	-0.2163589743589744	-0.2163589743589744	-0.2163589743589744	0.787	0.63	0.09300000000000001	0.0457	-1.02	0.113	0.7170000000000001	-0.2163589743589744	-0.2163589743589744	-0.2163589743589744	-0.2163589743589744	-1.63	-0.2163589743589744	-1.83	0.726	0.12300000000000001	-0.2163589743589744	0.524	-0.2163589743589744	-0.447	-1.76	-0.272	-0.2163589743589744	-0.2163589743589744	-0.2163589743589744	-0.215	-0.2163589743589744	-1.39	-0.868	-0.2163589743589744	-0.6990000000000001	0.40399999999999997	0.511	-0.2163589743589744	0.0694	0.377	-0.637	-0.2163589743589744	-0.812	-0.551	-0.309	-0.2163589743589744	-0.332	0.517	-0.2163589743589744	-1.32	0.21100000000000002
IRAK4	NCF1-S348	0.23800000000000002	-0.15205119047619048	-0.15205119047619048	-0.15205119047619048	0.276	0.44299999999999995	0.21	-0.532	-0.15205119047619048	0.929	-0.69	0.5489999999999999	-0.865	-0.15205119047619048	-0.15205119047619048	-0.15205119047619048	0.726	-0.147	0.102	-0.15205119047619048	-0.15205119047619048	0.17600000000000002	0.982	-0.15205119047619048	-0.15205119047619048	0.35100000000000003	-0.15205119047619048	-0.15205119047619048	-0.9790000000000001	-1.26	-0.15205119047619048	-0.15205119047619048	-0.15205119047619048	-1.52	-0.15205119047619048	0.0465	-0.15205119047619048	-0.15205119047619048	-0.15205119047619048	-0.15205119047619048	-1.47	0.331	-1.01	-0.257	-0.125	-0.15205119047619048	-0.42200000000000004	-0.431	-1.03	-0.15205119047619048	-0.344	0.00515	-1.14	-0.15205119047619048	0.442	-0.12	-0.0208	-0.15205119047619048	-0.273	0.226	0.696	-0.15205119047619048	-0.711	-0.309	1.04	0.981	-0.35	-1.13	-0.15205119047619048
